Cultivated,Deciduous,Coniferous,Marshes,Peatbogs,Herbaceous,Water,Pixels,LocCode,River,Class,Built_up
4.100041000410004e-4,0.3845838458384584,0.05002050020500205,0.26404264042640424,0.3005330053300533,4.100041000410004e-4,NA,2439,GO_24,GO,Catch,NA
0.0032268137816175704,0.47028208597897364,0.11980847298844592,0.17820339335900906,0.21349016342250443,0.013323618195066098,0.0011449984386384929,9607,GO_25,GO,Catch,5.204538357447694e-4
0.0018403382243223079,0.6204924148221835,0.08833623476747078,0.12862472021885102,0.15274807261875156,0.007162397413578712,5.471275802039294e-4,20105,GO_26,GO,Catch,2.486943546381497e-4
0.0036719706242350062,0.7343941248470012,0.10465116279069768,0.05752753977968176,0.09210526315789473,0.007649938800489596,NA,3268,GO_27,GO,Catch,NA
6.250558085543353e-4,0.8342709170461649,0.0792035003125279,0.04053933386909545,0.04259308866863113,0.0024109295472810074,3.571747477453344e-4,11199,GO_28,GO,Catch,NA
0.0016450293437666726,0.6440067579583852,0.09478925840298773,0.11564111684154366,0.13680419704783922,0.006402276364929753,4.890627778765783e-4,22492,GO_29,GO,Catch,2.2230126267117198e-4
0.006028636021100226,0.7377543330821401,0.12584777694046723,0.02562170308967596,0.10474755086661643,NA,NA,1327,GO_3,GO,Catch,NA
0.004692475280710575,0.693815987933635,0.10239651416122005,0.08965979554214848,0.10407239819004525,0.004860063683593096,NA,5967,GO_30,GO,Catch,5.027652086475615e-4
0.003275918550319833,0.6836669597751686,0.16943395575785788,0.05515612338143761,0.07925998724115933,0.009000155175089225,1.379334126450456e-4,57999,GO_31,GO,Catch,6.89667063225228e-5
4.103405826836274e-4,0.763233483791547,0.17890849405006154,0.01764464505539598,0.03857201477226098,0.0012310217480508822,NA,2437,GO_32,GO,Catch,NA
0.003300231016171132,0.612282859800186,0.15772104047283309,0.0900963067414719,0.13140919864390507,0.0046803276229336055,3.600252017641235e-4,33331,GO_33,GO,Catch,1.5001050073505144e-4
0.00361044832349617,0.5341893758633681,0.14602955335091464,0.12391686550295115,0.1654736489597723,0.020176650341161204,0.005849972790824228,95556,GO_34,GO,Catch,7.534848675122441e-4
0.008815812489067694,0.5267797796046878,0.2816162322896624,0.04470876333741473,0.12230190659436768,0.014728004198005948,7.346510407556411e-4,28585,GO_35,GO,Catch,3.1485044603813187e-4
0.0017474879860200961,0.8608562691131498,0.0655307994757536,0.01944080384447357,0.047619047619047616,0.003931847968545216,8.737439930100481e-4,4578,GO_36,GO,Catch,NA
NA,0.9251968503937008,0.02952755905511811,0.00984251968503937,0.027559055118110236,0.007874015748031496,NA,508,GO_37,GO,Catch,NA
NA,0.7954545454545454,0.20454545454545456,NA,NA,NA,NA,88,GO_38,GO,Catch,NA
NA,0.871482570348593,0.09617807643847123,0.010919781604367913,0.019319613607727847,0.0016799664006719867,4.1999160016799666e-4,2381,GO_39,GO,Catch,NA
0.0014361183771862338,0.5213109709186029,0.0668820844232446,0.17657417380451693,0.19821852934639517,0.025354328016276007,0.009146706330888512,58491,GO_4,GO,Catch,0.0010770887828896753
